trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
ns,NA,NA,214.9,229.3,195.1,ns,0.09366,ns,NA,NA,115.2,112.7,115.6,ns,0.05203,-,-0.05896,120.3,1.9,2.248,1.566,-,0.04123,-,-17,35360,30330,17570,12760,ns,0.1769,ns,NA,NA,15960,7813,8152,ns,0.1145,-,-0.01372,28.57,1.098,1.224,0.9776,-,0.01928,-,-0.005224,12.39,1.939,1.961,1.919,ns,0.01405,-,-0.00598,12.57,0.589,0.6393,0.5408,ns,0.01489,-,-0.004634,9.881,0.5828,0.6003,0.5661,-,0.04123,ns,NA,NA,9.678,8.964,9.006,ns,0.1145,-,-0.002687,5.877,0.4834,0.4969,0.4704,-,0.01928,ns,NA,NA,9305,4690,4615,ns,0.1353,-,-0.001644,4.269,0.9631,0.9677,0.9587,ns,0.01405,-,-0.00182,4.012,0.3756,0.3874,0.3643,ns,0.01489,ethiopia_Arid,770.5062746029076,Arid
-,-0.9743,2118,145.3,156,130.1,ns,0.4059,ns,NA,NA,141.4,142.7,138.1,ns,0.1353,-,-0.05982,123.4,3.009,3.204,2.77,-,0.01554,-,-906.9,1881000,1234000,722100,511900,ns,0.4267,ns,NA,NA,410200,225400,184800,ns,0.09366,-,-0.02864,59.12,1.553,1.665,1.416,-,0.02116,-,-0.004633,11.55,2.206,2.201,2.211,+,0.00553,-,-0.009447,19.69,0.7072,0.7513,0.6534,-,0.02419,-,-0.00354,7.837,0.7019,0.7186,0.6814,-,0.01554,ns,NA,NA,12.92,12.33,12.13,ns,0.09366,-,-0.003471,7.556,0.5693,0.586,0.5489,-,0.02116,ns,NA,NA,287900,162000,125900,ns,0.1561,-,-6.903e-4,2.407,1.022,1.021,1.023,+,0.00553,-,-0.002801,6.045,0.421,0.4343,0.4049,-,0.02419,ethiopia_Equatorial,18.93824047842395,Equatorial
ns,NA,NA,71.15,75.54,65.43,ns,0.3226,-,-0.5701,1215,73.36,81.05,61.44,ns,0.4683,ns,NA,NA,1.218,1.247,1.183,ns,0.002078,-,-19.86,40570,14070,7968,6106,ns,0.4267,-,-8.562,17740,11550,6390,5162,ns,0.3642,-,-0.004636,10.02,0.7176,0.7433,0.6859,ns,0.01275,ns,NA,NA,1.861,1.862,1.86,ns,0.009863,-,-0.001995,4.443,0.447,0.4637,0.4263,-,0.02,-,-0.003113,6.776,0.52,0.5313,0.5059,ns,0.002078,-,-0.01519,36.89,9.355,8.763,8.549,ns,0.3642,-,-0.002035,4.502,0.419,0.4296,0.4058,ns,0.01275,-,-3.953,8239,6007,3395,2612,ns,0.385,ns,NA,NA,0.9475,0.946,0.9494,ns,0.009863,-,-0.001346,3.032,0.3305,0.3394,0.3196,-,0.02,ethiopia_Temperate,1660.4827159677754,Temperate
-,-1.234,2546,65.97,70.74,64.09,ns,0.09909,ns,NA,NA,23.56,38.26,13.64,ns,0.1633,ns,NA,NA,1.423,1.454,1.411,ns,0.04943,+,0.5511,-1100,771.3,218.2,553.2,ns,0.098,+,0.5,-998.5,542,150,392,ns,0.09806,ns,NA,NA,0.8729,0.8887,0.8668,ns,0.04775,ns,NA,NA,2.031,2.12,1.997,ns,0.05737,ns,NA,NA,0.4973,0.5041,0.4947,ns,0.02924,ns,NA,NA,0.6005,0.618,0.5939,ns,0.04943,+,0.03708,-72.85,6.297,5.017,5.974,ns,0.09806,ns,NA,NA,0.4785,0.4879,0.4748,ns,0.04775,ns,NA,NA,325.5,92.7,232.8,ns,0.098,ns,NA,NA,0.9946,1.023,0.9838,ns,0.05737,ns,NA,NA,0.3592,0.3602,0.3588,ns,0.02924,ethiopia_Polar,30298.456080237847,Polar
ns,NA,NA,110.8,110.5,111.6,ns,0.2415,ns,NA,NA,36.75,36.77,36.83,ns,0.1464,ns,NA,NA,0.9987,0.9372,1.166,ns,0.08028,ns,NA,NA,420.5,288.7,131.8,ns,0.3557,-,-1.5,3035,421,308,113,ns,0.4291,+,0.01673,-32.92,0.9402,0.8356,1.225,ns,0.07346,+,0.09778,-194.4,2.397,2.179,2.991,+,0.1774,ns,NA,NA,0.5225,0.5052,0.5698,ns,0.02675,ns,NA,NA,0.5149,0.4931,0.5743,ns,0.08028,-,-0.103,210,6.045,5.733,4.736,ns,0.4291,+,0.01057,-20.78,0.4786,0.4562,0.5395,ns,0.07346,-,-0.5862,1185,216.8,151.9,64.89,ns,0.3557,+,0.01834,-35.85,1.051,1.002,1.184,+,0.1774,ns,NA,NA,0.3609,0.3581,0.3685,ns,0.02675,finland_Boreal,16230.922737541994,Boreal
-,-4.024,8272,174.9,194.4,131.6,ns,0.1561,+,2.126,-4219,73.06,56,86.74,ns,0.2393,ns,NA,NA,1.303,1.359,1.194,-,0.04456,-,-24.74,50050,6938,4787,2151,ns,0.4059,-,-11.33,23010,5324,3523,1801,ns,0.4267,-,-0.02193,44.77,0.9185,0.9877,0.7832,ns,0.02496,-,-0.03727,78.06,3.146,3.185,3.069,ns,0.003465,-,-0.008436,17.4,0.4602,0.489,0.4039,ns,0.01822,ns,NA,NA,0.5447,0.5466,0.541,-,0.04452,-,-0.05261,111.2,8.58,8.167,7.497,ns,0.4267,-,-0.007324,15.16,0.4843,0.5023,0.4491,ns,0.02496,-,-7.567,15320,2900,1926,974.3,ns,0.3642,ns,NA,NA,1.167,1.17,1.163,ns,0.003465,-,-0.004917,10.21,0.3338,0.3471,0.3078,ns,0.01822,france_Temperate,1890.115428665525,Temperate
ns,NA,NA,106.5,103.1,110.6,ns,0.09366,-,-3.656,7379,93.38,89.87,97.81,ns,0.2811,ns,NA,NA,0.7514,0.8701,0.6433,ns,0.01445,ns,NA,NA,225.4,124.4,101,ns,0.1145,ns,NA,NA,300,143,157,ns,0.01042,ns,NA,NA,0.6984,0.8872,0.5264,ns,0.05711,ns,NA,NA,2.453,2.427,2.478,ns,0.0271,ns,NA,NA,0.4053,0.4284,0.3842,ns,0.07057,ns,NA,NA,0.4346,0.4473,0.4231,ns,0.01466,ns,NA,NA,5.707,4.97,5.063,ns,0.01042,ns,NA,NA,0.3975,0.4134,0.3831,ns,0.05711,ns,NA,NA,130.4,63.96,66.43,ns,0.03122,ns,NA,NA,1.059,1.048,1.069,ns,0.0271,ns,NA,NA,0.3048,0.3055,0.3041,ns,0.07057,france_Boreal,58173.92020231219,Boreal
NA,NA,NA,179.6,184,177.3,NA,NA,NA,NA,NA,109.2,-0,NA,NA,NA,NA,NA,NA,0.2647,0.2292,0.2884,NA,NA,NA,NA,NA,1.323,0.4584,0.8651,NA,NA,NA,NA,NA,5,2,3,NA,NA,NA,NA,NA,0.5581,0.322,0.7155,NA,NA,NA,NA,NA,1.8,3,1,NA,NA,NA,NA,NA,0.5066,0.1932,0.7155,NA,NA,NA,NA,NA,0.2272,0.1925,0.2504,NA,NA,NA,NA,NA,1.792,1.099,1.386,NA,NA,NA,NA,NA,0.4187,0.2758,0.514,NA,NA,NA,NA,NA,1.136,0.3851,0.7511,NA,NA,NA,NA,NA,0.9129,1.242,0.6931,NA,NA,NA,NA,NA,0.379,0.1765,0.514,NA,NA,france_Polar,9908094.54605152,Polar
NA,NA,NA,210.7,205.2,215.4,NA,NA,NA,NA,NA,13.81,4.221,17.08,NA,NA,NA,NA,NA,6.666,8.098,5.806,NA,NA,NA,NA,NA,53.33,24.29,29.03,NA,NA,NA,NA,NA,8,3,5,NA,NA,NA,NA,NA,3.864,3.506,4.079,NA,NA,NA,NA,NA,3.125,3.333,3,NA,NA,NA,NA,NA,1.564,1.589,1.548,NA,NA,NA,NA,NA,1.322,1.535,1.194,NA,NA,NA,NA,NA,2.197,1.386,1.792,NA,NA,NA,NA,NA,1.085,1.17,1.034,NA,NA,NA,NA,NA,10.57,4.604,5.969,NA,NA,NA,NA,NA,1.278,1.29,1.271,NA,NA,NA,NA,NA,0.7821,0.8613,0.7346,NA,NA,france_Arid,245910.46171006383,Arid
+,0.985,-1796,183.1,179.2,187,+,0.6556,-,-1.05,2157,45.65,51.18,39,-,0.7389,+,0.01633,-31.49,1.385,1.323,1.452,ns,0.008149,ns,NA,NA,71420,35610,35810,ns,0.1353,ns,NA,NA,51580,26920,24660,ns,0.1353,+,0.0104,-19.99,0.9462,0.9176,0.9775,ns,0.005653,ns,NA,NA,1.658,1.662,1.654,ns,0.0015790000000000001,+,0.001987,-3.461,0.5274,0.5213,0.534,ns,0.004229,+,8.112e-4,-1.144,0.4859,0.4844,0.4875,ns,0.00815,ns,NA,NA,10.85,10.2,10.11,ns,0.1353,+,3.438e-4,-0.275,0.4298,0.4286,0.4311,ns,0.005653,ns,NA,NA,25060,13040,12020,ns,0.1145,ns,NA,NA,0.8818,0.8834,0.8801,ns,0.0015790000000000001,ns,NA,NA,0.3508,0.3504,0.3513,ns,0.004229,gabon_Equatorial,75.36682346780928,Equatorial
-,-0.7289,1555,92.69,96.98,85.4,ns,0.281,ns,NA,NA,91.75,93.7,87.86,ns,0.09366,ns,NA,NA,4.493,4.525,4.44,ns,0.008864,-,-72.22,146800,31980,20120,11860,-,0.7389,-,-15.47,31520,7117,4447,2670,-,0.7597,ns,NA,NA,3.04,3.064,3,ns,0.01692,ns,NA,NA,4.469,4.474,4.462,ns,9.947e-5,+,0.002828,-4.824,0.9385,0.9506,0.9184,-,0.0297,ns,NA,NA,1.036,1.033,1.041,ns,0.008864,-,-0.04556,97.51,8.87,8.4,7.89,-,0.7597,ns,NA,NA,0.892,0.8865,0.9013,ns,0.01692,-,-18.63,37850,7372,4592,2780,-,0.7597,ns,NA,NA,1.445,1.442,1.451,ns,9.947e-5,+,0.002009,-3.545,0.5214,0.5181,0.527,+,0.0297,gambia_Equatorial,6.659727349043051,Equatorial
-,-5.792,11790,140,157.2,107.8,-,0.7597,-,-2.968,6085,121.3,128.5,98.95,-,0.718,ns,NA,NA,3.5,3.703,3.175,ns,0.005446,-,-30.25,61570,17050,11110,5934,-,0.6556,-,-6.575,13440,4870,3001,1869,-,0.5622,ns,NA,NA,2.32,2.448,2.114,ns,0.006179,ns,NA,NA,4.003,4.03,3.959,ns,0.01561,ns,NA,NA,0.8159,0.8425,0.7733,ns,0.005536,ns,NA,NA,0.9631,0.968,0.9552,ns,0.005446,-,-0.03077,67.33,8.491,8.007,7.534,-,0.5622,ns,NA,NA,0.8171,0.823,0.8078,ns,0.006179,-,-7.565,15460,4690,2905,1785,-,0.5307,ns,NA,NA,1.375,1.377,1.372,ns,0.01561,ns,NA,NA,0.4914,0.4943,0.4867,ns,0.005536,gambia_Arid,12.4927762868387,Arid
ns,NA,NA,238.3,241.4,231.7,ns,0.1769,+,1.738,-3460,62.5,55.74,74.79,ns,0.281,ns,NA,NA,1.537,1.624,1.376,ns,0.09319,ns,NA,NA,776,531.1,244.9,ns,0.3434,ns,NA,NA,505,327,178,ns,0.1458,ns,NA,NA,0.8714,0.9026,0.814,ns,0.08837,-,-0.1214,247.2,3.113,3.33,2.713,-,0.1214,ns,NA,NA,0.4283,0.4416,0.4039,ns,0.04502,-,-0.01056,21.74,0.6504,0.6871,0.5828,ns,0.09319,ns,NA,NA,6.227,5.793,5.187,ns,0.1458,ns,NA,NA,0.4916,0.512,0.4542,ns,0.08837,ns,NA,NA,328.4,224.7,103.7,ns,0.2602,-,-0.0243,50.04,1.193,1.238,1.111,-,0.1214,ns,NA,NA,0.3212,0.3281,0.3085,ns,0.04502,georgia_Boreal,1844.2468655768448,Boreal
+,1.791,-3444,178.5,183.3,175,ns,0.05203,ns,NA,NA,74.98,73.67,75.75,ns,0.05203,+,0.1175,-233.7,3.2,2.354,4.329,ns,0.009331,+,4.962,-9922,3056,1285,1771,ns,0.2602,ns,NA,NA,955,546,409,ns,0.06247,+,0.0385,-76,1.524,1.296,1.828,ns,0.02576,ns,NA,NA,3.573,3.377,3.834,ns,0.03088,+,0.008839,-17.25,0.5822,0.5564,0.6166,ns,0.06224,+,0.01249,-24.31,0.8007,0.7563,0.86,ns,0.009331,ns,NA,NA,6.863,6.304,6.016,ns,0.06247,ns,NA,NA,0.6163,0.5862,0.6565,ns,0.02576,ns,NA,NA,764.7,412.9,351.7,ns,0.05203,ns,NA,NA,1.261,1.233,1.299,ns,0.03088,+,0.003645,-6.939,0.3849,0.3724,0.4017,ns,0.06224,georgia_Temperate,468.31789396507537,Temperate
NA,NA,NA,208.5,203.7,233.5,NA,NA,NA,NA,NA,25.07,22.19,24.55,NA,NA,NA,NA,NA,2.76,2.777,2.679,NA,NA,NA,NA,NA,265,222.1,42.86,NA,NA,NA,NA,NA,96,80,16,NA,NA,NA,NA,NA,2.478,2.31,3.314,NA,NA,NA,NA,NA,3.344,3.112,4.5,NA,NA,NA,NA,NA,1.072,1.049,1.188,NA,NA,NA,NA,NA,0.9126,0.9081,0.9349,NA,NA,NA,NA,NA,4.575,4.394,2.833,NA,NA,NA,NA,NA,0.8953,0.8449,1.147,NA,NA,NA,NA,NA,87.61,72.65,14.96,NA,NA,NA,NA,NA,1.253,1.228,1.376,NA,NA,NA,NA,NA,0.5836,0.5649,0.6771,NA,NA,georgia_Arid,5400.254566256537,Arid
ns,NA,NA,242.2,224.1,273,ns,0.06742,ns,NA,NA,57.94,62.95,30.72,ns,0.1539,ns,NA,NA,0.4242,0.438,0.4026,ns,0.1315,ns,NA,NA,32.66,20.59,12.08,ns,0.06534,ns,NA,NA,77,47,30,ns,0.1528,ns,NA,NA,0.329,0.3243,0.3363,ns,0.1004,ns,NA,NA,2.104,2.106,2.1,ns,0.07547,ns,NA,NA,0.2586,0.2438,0.2818,ns,0.1382,ns,NA,NA,0.3075,0.3023,0.3157,ns,0.1315,ns,NA,NA,4.357,3.871,3.434,ns,0.1528,ns,NA,NA,0.2735,0.2684,0.2815,ns,0.1004,ns,NA,NA,23.68,14.21,9.47,ns,0.1089,ns,NA,NA,0.9889,0.971,1.017,ns,0.07547,ns,NA,NA,0.2254,0.2147,0.2422,ns,0.1382,georgia_Polar,43813.74284479936,Polar
ns,NA,NA,178.5,174.4,183.7,ns,0.09335,ns,NA,NA,62.94,54.01,72.86,ns,0.1249,ns,NA,NA,1.005,1.183,0.8394,-,0.1684,ns,NA,NA,358.8,203.5,155.3,ns,0.09366,ns,NA,NA,357,172,185,ns,0.06293,-,-0.03906,79.51,0.8809,0.9884,0.7809,-,0.1482,-,-0.07377,151.4,3.126,3.302,2.962,-,0.1247,-,-0.02235,45.76,0.5203,0.5645,0.4792,ns,0.08781,-,-0.008178,17,0.4934,0.5544,0.4367,-,0.1684,ns,NA,NA,5.881,5.153,5.226,ns,0.06293,-,-0.01297,26.7,0.4977,0.5476,0.4513,-,0.1482,ns,NA,NA,176.2,95.36,80.79,ns,0.09366,-,-0.01799,36.89,1.118,1.178,1.063,-,0.1247,ns,NA,NA,0.365,0.3891,0.3427,ns,0.08781,germany_Boreal,20496.770675639404,Boreal
ns,NA,NA,187,185.9,187.8,ns,0.03043,ns,NA,NA,72.99,60.36,81.14,ns,0.0318,+,0.02745,-54.6,1.051,0.9971,1.092,ns,0.08187,ns,NA,NA,134.5,55.84,78.66,ns,0.1982,ns,NA,NA,128,56,72,ns,0.1884,ns,NA,NA,1.667,1.533,1.771,ns,0.1046,ns,NA,NA,3.109,3.214,3.028,ns,0.1063,ns,NA,NA,0.8383,0.7943,0.8725,ns,0.08187,+,0.008648,-16.76,0.5275,0.5247,0.5297,ns,0.08187,ns,NA,NA,4.86,4.043,4.29,ns,0.1884,ns,NA,NA,0.7141,0.7152,0.7132,ns,0.1046,ns,NA,NA,67.52,29.38,38.14,ns,0.2191,ns,NA,NA,1.161,1.18,1.146,ns,0.1063,ns,NA,NA,0.5033,0.5077,0.4998,ns,0.08187,germany_Temperate,54682.04064132219,Temperate
NA,NA,NA,192,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2165,NA,0.2165,NA,NA,NA,NA,NA,0.433,0,0.433,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,0.2147,NA,0.2147,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0.2147,NA,0.2147,NA,NA,NA,NA,NA,0.196,NA,0.196,NA,NA,NA,NA,NA,1.099,0,1.099,NA,NA,NA,NA,NA,0.1945,NA,0.1945,NA,NA,NA,NA,NA,0.392,0,0.392,NA,NA,NA,NA,NA,0.6931,NA,0.6931,NA,NA,NA,NA,NA,0.1945,NA,0.1945,NA,NA,germany_Arid,16983900.992098145,Arid
ns,NA,NA,246.1,253.4,235.4,ns,0.03122,ns,NA,NA,147.6,143.3,153,ns,0.1145,ns,NA,NA,2.086,2.134,2.02,-,0.005186,-,-741.5,1555000,1341000,792100,548600,ns,0.3642,-,-320.7,674300,642700,371100,271600,ns,0.281,ns,NA,NA,1.086,1.122,1.036,-,0.003066,+,0.005895,-9.816,2.043,2.01,2.087,+,0.0169,ns,NA,NA,0.5457,0.5583,0.5285,ns,0.001494,ns,NA,NA,0.5995,0.5977,0.602,+,0.005185,-,-0.01077,32,13.37,12.82,12.51,ns,0.281,ns,NA,NA,0.4855,0.4873,0.483,-,0.003066,ns,NA,NA,385300,221800,163500,ns,0.2602,+,0.001474,-1.979,0.9797,0.9719,0.9904,+,0.0169,ns,NA,NA,0.368,0.3716,0.3629,ns,0.001494,ghana_Equatorial,3.6897630199146993,Equatorial
+,1.976,-3747,232.3,229.4,235.8,ns,0.4059,ns,NA,NA,62.46,67.18,55.73,ns,0.2185,ns,NA,NA,2.078,2.19,1.951,ns,0.04244,ns,NA,NA,4664,2606,2058,ns,0.05203,ns,NA,NA,2245,1190,1055,ns,0.05209,ns,NA,NA,1.035,1.116,0.9437,ns,0.03798,ns,NA,NA,3.524,3.529,3.518,ns,0.01172,ns,NA,NA,0.4239,0.4522,0.392,-,0.05271,-,-0.004921,10.58,0.694,0.7242,0.6598,ns,0.04244,ns,NA,NA,7.717,7.083,6.962,ns,0.05209,ns,NA,NA,0.5073,0.532,0.4793,ns,0.03798,ns,NA,NA,1558,861.8,696.1,ns,0.01041,ns,NA,NA,1.237,1.243,1.229,ns,0.01172,ns,NA,NA,0.3153,0.3304,0.2984,-,0.05271,greece_Arid,576.2775364668915,Arid
ns,NA,NA,233.1,234.7,228.4,ns,0.1977,ns,NA,NA,37.86,36.41,41.35,ns,0.09366,ns,NA,NA,4.146,4.606,3.232,-,0.0524,-,-17.52,35540,7450,5508,1942,ns,0.2602,-,-6.454,13070,1797,1196,601,ns,0.2707,ns,NA,NA,2.41,2.504,2.225,-,0.05714,ns,NA,NA,3.678,3.66,3.715,ns,0.04354,ns,NA,NA,0.7319,0.7289,0.7378,ns,0.04235,ns,NA,NA,0.8351,0.8191,0.8669,+,0.0524,-,-0.08297,171.2,7.494,7.088,6.4,ns,0.2707,+,0.01189,-23.31,0.6814,0.6573,0.7295,+,0.05714,-,-3.114,6325,1501,979.6,521,ns,0.2185,ns,NA,NA,1.29,1.278,1.314,ns,0.04354,ns,NA,NA,0.415,0.4026,0.4396,ns,0.04235,greece_Temperate,360.7629362394524,Temperate
NA,NA,NA,211.3,201.6,249,NA,NA,NA,NA,NA,56.03,55.2,42.02,NA,NA,NA,NA,NA,2.314,2.481,1.832,NA,NA,NA,NA,NA,162,129,32.97,NA,NA,NA,NA,NA,70,52,18,NA,NA,NA,NA,NA,1.294,1.292,1.3,NA,NA,NA,NA,NA,4.057,3.981,4.278,NA,NA,NA,NA,NA,0.4849,0.4936,0.4598,NA,NA,NA,NA,NA,0.7762,0.8042,0.6954,NA,NA,NA,NA,NA,4.263,3.97,2.944,NA,NA,NA,NA,NA,0.5716,0.5849,0.5331,NA,NA,NA,NA,NA,54.34,41.82,12.52,NA,NA,NA,NA,NA,1.336,1.329,1.355,NA,NA,NA,NA,NA,0.337,0.3462,0.3106,NA,NA,greece_Boreal,16596.270661611503,Boreal
ns,NA,NA,108.4,112.1,105.3,ns,0.1561,-,-1.095,2281,53.65,53.47,53.65,ns,0.1769,+,0.02071,-40.97,0.8475,0.7655,0.9302,ns,0.00562,+,1.97,-3932,1080,490,589.7,ns,0.1769,ns,NA,NA,1274,640,634,ns,0.06247,+,0.02878,-56.03,1.988,1.932,2.044,ns,0.008966,+,0.0184,-34.67,2.535,2.389,2.683,ns,0.01084,ns,NA,NA,1.208,1.217,1.2,ns,0.009079,+,0.003527,-6.631,0.4417,0.431,0.4525,ns,0.00562,ns,NA,NA,7.151,6.463,6.454,ns,0.06247,ns,NA,NA,0.909,0.9021,0.916,ns,0.008966,ns,NA,NA,562.7,275.8,286.9,ns,0.09366,ns,NA,NA,1.046,1.029,1.063,ns,0.01084,ns,NA,NA,0.73740000000000006,0.7394,0.7354,ns,0.009079,guatemala_Temperate,2057.985057236766,Temperate
+,1.194,-2276,119.2,114.9,126,ns,0.4475,+,2.142,-4207,93.96,87.57,103,ns,0.4267,ns,NA,NA,1.354,1.476,1.196,-,0.022,ns,NA,NA,66370,40870,25500,ns,0.1769,ns,NA,NA,49020,27690,21320,ns,0.1977,ns,NA,NA,2.042,2.164,1.884,-,0.02803,+,0.04433,-85.34,3.87,3.801,3.959,+,0.03001,-,-0.006852,14.78,1.061,1.104,1.005,-,0.06299,+,0.001773,-2.971,0.576,0.575,0.5772,+,0.022,ns,NA,NA,10.8,10.23,9.968,ns,0.1977,ns,NA,NA,0.9234,0.9352,0.908,-,0.02803,ns,NA,NA,28230,15930,12310,ns,0.1353,+,0.008475,-15.75,1.27,1.253,1.291,+,0.03001,-,-0.002485,5.654,0.6753,0.6896,0.6568,-,0.06299,guatemala_Equatorial,33.477027448702586,Equatorial
NA,NA,NA,326.5,NA,326.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2165,NA,0.2165,NA,NA,NA,NA,NA,0.433,0,0.433,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,0.8586,NA,0.8586,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0.8586,NA,0.8586,NA,NA,NA,NA,NA,0.196,NA,0.196,NA,NA,NA,NA,NA,1.099,0,1.099,NA,NA,NA,NA,NA,0.6198,NA,0.6198,NA,NA,NA,NA,NA,0.392,0,0.392,NA,NA,NA,NA,NA,0.6931,NA,0.6931,NA,NA,NA,NA,NA,0.6198,NA,0.6198,NA,NA,guatemala_Polar,5131169.72095675,Polar
+,0.6093,-1163,63.76,62.52,65.73,ns,0.2602,+,0.7096,-1377,57.58,58.53,56,ns,0.385,-,-0.02182,45.91,2.158,2.251,2.026,-,0.01904,-,-100.4,206400,97850,59950,37900,ns,0.3434,-,-31.62,65510,45340,26630,18710,ns,0.4683,-,-0.01167,24.55,1.21,1.262,1.135,-,0.0224,ns,NA,NA,2.403,2.396,2.415,+,0.01076,-,-0.002118,4.836,0.5952,0.6119,0.5713,-,0.02478,-,-0.003033,6.777,0.6795,0.6875,0.6681,-,0.01904,-,-0.01699,41.78,10.72,10.19,9.837,ns,0.4683,-,-0.002339,5.241,0.5529,0.5618,0.5402,-,0.0224,-,-28.5,58700,30810,18310,12500,-,0.614,ns,NA,NA,1.06,1.059,1.063,+,0.01076,-,-0.001364,3.142,0.3995,0.4063,0.3899,-,0.02478,guinea-bissau_Equatorial,6.764480385973894,Equatorial
-,-1.559,3288,147,160.5,130.8,ns,0.385,-,-0.7165,1585,143.7,147.5,137.2,-,0.5099,-,-0.006325,13.86,1.147,1.179,1.111,-,0.01983,-,-211.8,462500,870900,475700,395200,ns,0.1353,ns,NA,NA,759200,403500,355600,ns,0.05203,-,-0.005164,11.1,0.7458,0.7781,0.7091,-,0.02057,ns,NA,NA,1.856,1.866,1.845,-,0.01668,-,-0.002803,6.089,0.4599,0.4748,0.443,-,0.0192,-,-0.002024,4.6,0.5224,0.5329,0.5106,-,0.01983,ns,NA,NA,13.54,12.91,12.78,ns,0.05203,-,-0.001824,4.085,0.4297,0.4392,0.4188,-,0.02057,ns,NA,NA,396600,215000,181600,ns,0.09366,ns,NA,NA,0.9462,0.9494,0.9425,-,0.01668,-,-9.66e-4,2.279,0.3375,0.3444,0.3298,-,0.0192,guinea_Equatorial,5.807151139709487,Equatorial
ns,NA,NA,99.48,98.76,100.3,ns,0.09366,ns,NA,NA,38.37,38.76,37.91,ns,0.1977,ns,NA,NA,1.373,1.364,1.383,ns,0.002724,ns,NA,NA,56430,29410,27020,ns,0.03122,ns,NA,NA,41090,21560,19540,ns,0.05203,ns,NA,NA,1.696,1.689,1.703,+,0.01202,ns,NA,NA,3.312,3.242,3.389,+,0.01191,ns,NA,NA,0.8739,0.8742,0.8735,ns,0.008086,ns,NA,NA,0.5345,0.532,0.5373,ns,0.002724,ns,NA,NA,10.62,9.978,9.88,ns,0.05203,ns,NA,NA,0.7686,0.7666,0.7707,+,0.01202,ns,NA,NA,21960,11470,10500,ns,0.05203,+,0.003613,-6.113,1.175,1.165,1.185,+,0.01191,ns,NA,NA,0.568,0.5687,0.5672,ns,0.008086,honduras_Equatorial,41.201702232726824,Equatorial
ns,NA,NA,108.9,112.9,105,ns,0.1769,+,1.616,-3223,34.81,28.68,39.63,+,0.5515,ns,NA,NA,0.7613,0.7392,0.7846,+,0.06881,+,2.343,-4681,1194,595.8,598.6,ns,0.1977,ns,NA,NA,1569,806,763,ns,0.1145,ns,NA,NA,1.702,1.703,1.701,ns,0.0267,+,0.03397,-66.18,2.444,2.371,2.522,+,0.05854,ns,NA,NA,1.109,1.103,1.116,ns,0.004221,ns,NA,NA,0.4112,0.4036,0.4191,+,0.06881,+,0.04965,-95.89,7.359,6.693,6.639,ns,0.1145,ns,NA,NA,0.8448,0.8435,0.8462,ns,0.0267,+,1.305,-2594,645.1,325.3,319.8,ns,0.1561,+,0.00385,-6.776,1.018,0.9958,1.041,+,0.05854,ns,NA,NA,0.7013,0.7026,0.6999,ns,0.004221,honduras_Temperate,1946.587233834863,Temperate
