name_lwr,kg,wcbio,value
argentina,Boreal,wc2.1_2.5m_bio_5,18.75840015411377
argentina,Boreal,wc2.1_2.5m_bio_6,-6.9679999351501465
argentina,Boreal,wc2.1_2.5m_bio_7,25.72640037536621
argentina,Boreal,wc2.1_2.5m_bio_8,-1.2249332785606384
argentina,Boreal,wc2.1_2.5m_bio_9,10.140800094604492
argentina,Polar,wc2.1_2.5m_bio_1,3.0455585713498294
argentina,Polar,wc2.1_2.5m_bio_10,7.438425517556342
argentina,Polar,wc2.1_2.5m_bio_11,-1.6648546397389674
argentina,Polar,wc2.1_2.5m_bio_12,446.47727272727275
argentina,Polar,wc2.1_2.5m_bio_13,63.43181818181818
argentina,Polar,wc2.1_2.5m_bio_14,18.318181818181817
argentina,Polar,wc2.1_2.5m_bio_15,52.97431633689187
argentina,Polar,wc2.1_2.5m_bio_16,174.8409090909091
argentina,Polar,wc2.1_2.5m_bio_17,63.79545454545455
argentina,Polar,wc2.1_2.5m_bio_18,100.75
argentina,Polar,wc2.1_2.5m_bio_19,133.45454545454547
argentina,Polar,wc2.1_2.5m_bio_2,10.165459036827087
argentina,Polar,wc2.1_2.5m_bio_3,49.993543884970926
argentina,Polar,wc2.1_2.5m_bio_4,371.86234560879797
argentina,Polar,wc2.1_2.5m_bio_5,13.478807806968689
argentina,Polar,wc2.1_2.5m_bio_6,-6.552278226072138
argentina,Polar,wc2.1_2.5m_bio_7,20.031086054715242
argentina,Polar,wc2.1_2.5m_bio_8,2.7898155347528784
argentina,Polar,wc2.1_2.5m_bio_9,3.923239000713114
argentina,Temperate,wc2.1_2.5m_bio_1,16.78053938632316
argentina,Temperate,wc2.1_2.5m_bio_10,22.64778580361224
argentina,Temperate,wc2.1_2.5m_bio_11,10.792826932870803
argentina,Temperate,wc2.1_2.5m_bio_12,906.6787234042553
argentina,Temperate,wc2.1_2.5m_bio_13,128.34468085106383
argentina,Temperate,wc2.1_2.5m_bio_14,29.227659574468085
argentina,Temperate,wc2.1_2.5m_bio_15,50.07868902328167
argentina,Temperate,wc2.1_2.5m_bio_16,345.2340425531915
argentina,Temperate,wc2.1_2.5m_bio_17,99.85531914893618
argentina,Temperate,wc2.1_2.5m_bio_18,301.4191489361702
argentina,Temperate,wc2.1_2.5m_bio_19,122.66808510638297
argentina,Temperate,wc2.1_2.5m_bio_2,12.78330423882667
argentina,Temperate,wc2.1_2.5m_bio_3,49.29908810879322
argentina,Temperate,wc2.1_2.5m_bio_4,481.02107219290224
argentina,Temperate,wc2.1_2.5m_bio_5,30.183548911074375
argentina,Temperate,wc2.1_2.5m_bio_6,4.22079999454795
argentina,Temperate,wc2.1_2.5m_bio_7,25.962748933345715
argentina,Temperate,wc2.1_2.5m_bio_8,20.385775880075673
argentina,Temperate,wc2.1_2.5m_bio_9,12.19379289860421
armenia,Arid,wc2.1_2.5m_bio_1,10.899250030517578
armenia,Arid,wc2.1_2.5m_bio_10,22.748332977294922
armenia,Arid,wc2.1_2.5m_bio_11,-1.703833281993866
armenia,Arid,wc2.1_2.5m_bio_12,305
armenia,Arid,wc2.1_2.5m_bio_13,50.25
armenia,Arid,wc2.1_2.5m_bio_14,11.75
armenia,Arid,wc2.1_2.5m_bio_15,44.99754524230957
armenia,Arid,wc2.1_2.5m_bio_16,127.25
armenia,Arid,wc2.1_2.5m_bio_17,42.75
armenia,Arid,wc2.1_2.5m_bio_18,61.75
armenia,Arid,wc2.1_2.5m_bio_19,58.75
armenia,Arid,wc2.1_2.5m_bio_2,11.632666826248169
armenia,Arid,wc2.1_2.5m_bio_3,29.85713291168213
armenia,Arid,wc2.1_2.5m_bio_4,991.7084197998047
armenia,Arid,wc2.1_2.5m_bio_5,31.17099952697754
armenia,Arid,wc2.1_2.5m_bio_6,-7.787999868392944
armenia,Arid,wc2.1_2.5m_bio_7,38.958998680114746
armenia,Arid,wc2.1_2.5m_bio_8,15.347000122070312
armenia,Arid,wc2.1_2.5m_bio_9,22.54699945449829
armenia,Boreal,wc2.1_2.5m_bio_1,5.492574003007677
armenia,Boreal,wc2.1_2.5m_bio_10,15.940740797254774
armenia,Boreal,wc2.1_2.5m_bio_11,-5.230592568715413
armenia,Boreal,wc2.1_2.5m_bio_12,529.1111111111111
armenia,Boreal,wc2.1_2.5m_bio_13,84.88888888888889
armenia,Boreal,wc2.1_2.5m_bio_14,21.444444444444443
armenia,Boreal,wc2.1_2.5m_bio_15,45.794893476698135
armenia,Boreal,wc2.1_2.5m_bio_16,221.11111111111111
armenia,Boreal,wc2.1_2.5m_bio_17,73.33333333333333
armenia,Boreal,wc2.1_2.5m_bio_18,123.77777777777777
armenia,Boreal,wc2.1_2.5m_bio_19,76.77777777777777
armenia,Boreal,wc2.1_2.5m_bio_2,10.830481423272026
armenia,Boreal,wc2.1_2.5m_bio_3,30.41251097785102
armenia,Boreal,wc2.1_2.5m_bio_4,864.41796875
armenia,Boreal,wc2.1_2.5m_bio_5,23.45999993218316
armenia,Boreal,wc2.1_2.5m_bio_6,-12.159555541144478
armenia,Boreal,wc2.1_2.5m_bio_7,35.61955536736382
armenia,Boreal,wc2.1_2.5m_bio_8,9.47896311018202
armenia,Boreal,wc2.1_2.5m_bio_9,-5.109333303239611
australia,Arid,wc2.1_2.5m_bio_1,21.943713508623024
australia,Arid,wc2.1_2.5m_bio_10,28.30963478088379
australia,Arid,wc2.1_2.5m_bio_11,14.727044993278964
australia,Arid,wc2.1_2.5m_bio_12,348.5002237136465
australia,Arid,wc2.1_2.5m_bio_13,66.28590604026846
australia,Arid,wc2.1_2.5m_bio_14,9.37807606263982
australia,Arid,wc2.1_2.5m_bio_15,57.795179825341144
australia,Arid,wc2.1_2.5m_bio_16,166.6979865771812
australia,Arid,wc2.1_2.5m_bio_17,34.97046979865772
australia,Arid,wc2.1_2.5m_bio_18,140.7221476510067
australia,Arid,wc2.1_2.5m_bio_19,52.76152125279642
australia,Arid,wc2.1_2.5m_bio_2,14.416171536882985
australia,Arid,wc2.1_2.5m_bio_3,49.09217993205026
australia,Arid,wc2.1_2.5m_bio_4,554.4893639754396
australia,Arid,wc2.1_2.5m_bio_5,36.36898461924303
australia,Arid,wc2.1_2.5m_bio_6,6.872117489616343
australia,Arid,wc2.1_2.5m_bio_7,29.49686715469531
australia,Arid,wc2.1_2.5m_bio_8,25.61957336784209
australia,Arid,wc2.1_2.5m_bio_9,18.621447685634262
australia,Equatorial,wc2.1_2.5m_bio_1,26.560974892447977
australia,Equatorial,wc2.1_2.5m_bio_10,29.406868612065036
australia,Equatorial,wc2.1_2.5m_bio_11,22.629538655281067
australia,Equatorial,wc2.1_2.5m_bio_12,1092.3382352941176
australia,Equatorial,wc2.1_2.5m_bio_13,275.85661764705884
australia,Equatorial,wc2.1_2.5m_bio_14,2.1544117647058822
australia,Equatorial,wc2.1_2.5m_bio_15,114.85387647853179
australia,Equatorial,wc2.1_2.5m_bio_16,732.625
australia,Equatorial,wc2.1_2.5m_bio_17,11.400735294117647
australia,Equatorial,wc2.1_2.5m_bio_18,415.7647058823529
australia,Equatorial,wc2.1_2.5m_bio_19,14.1875
australia,Equatorial,wc2.1_2.5m_bio_2,12.271493715398451
australia,Equatorial,wc2.1_2.5m_bio_3,58.030356098623834
australia,Equatorial,wc2.1_2.5m_bio_4,275.63358601401836
australia,Equatorial,wc2.1_2.5m_bio_5,35.982724764767816
australia,Equatorial,wc2.1_2.5m_bio_6,14.793616992585799
australia,Equatorial,wc2.1_2.5m_bio_7,21.189107740626614
australia,Equatorial,wc2.1_2.5m_bio_8,28.44967990061816
australia,Equatorial,wc2.1_2.5m_bio_9,23.199041934574353
australia,Temperate,wc2.1_2.5m_bio_1,15.314090124994731
australia,Temperate,wc2.1_2.5m_bio_10,20.41092705898148
australia,Temperate,wc2.1_2.5m_bio_11,10.033894720695002
australia,Temperate,wc2.1_2.5m_bio_12,941.3093525179856
australia,Temperate,wc2.1_2.5m_bio_13,132.82374100719426
australia,Temperate,wc2.1_2.5m_bio_14,37.36330935251799
australia,Temperate,wc2.1_2.5m_bio_15,40.81286823835304
australia,Temperate,wc2.1_2.5m_bio_16,361.48920863309354
australia,Temperate,wc2.1_2.5m_bio_17,132.38129496402877
australia,Temperate,wc2.1_2.5m_bio_18,252.86690647482015
australia,Temperate,wc2.1_2.5m_bio_19,234.28776978417267
australia,Temperate,wc2.1_2.5m_bio_2,11.133895078151346
australia,Temperate,wc2.1_2.5m_bio_3,49.2253601019331
australia,Temperate,wc2.1_2.5m_bio_4,422.1505545197631
australia,Temperate,wc2.1_2.5m_bio_5,27.180521910139124
australia,Temperate,wc2.1_2.5m_bio_6,4.5501852696694485
australia,Temperate,wc2.1_2.5m_bio_7,22.630336603672383
australia,Temperate,wc2.1_2.5m_bio_8,15.609197449341094
australia,Temperate,wc2.1_2.5m_bio_9,15.41076651408518
austria,Boreal,wc2.1_2.5m_bio_1,6.441601862510045
austria,Boreal,wc2.1_2.5m_bio_10,14.913148191240099
austria,Boreal,wc2.1_2.5m_bio_11,-2.024333346221182
austria,Boreal,wc2.1_2.5m_bio_12,1076.138888888889
austria,Boreal,wc2.1_2.5m_bio_13,140.61111111111111
austria,Boreal,wc2.1_2.5m_bio_14,52.388888888888886
austria,Boreal,wc2.1_2.5m_bio_15,33.70613294177585
austria,Boreal,wc2.1_2.5m_bio_16,394.3611111111111
austria,Boreal,wc2.1_2.5m_bio_17,175.88888888888889
austria,Boreal,wc2.1_2.5m_bio_18,394.3611111111111
austria,Boreal,wc2.1_2.5m_bio_19,176.97222222222223
austria,Boreal,wc2.1_2.5m_bio_2,9.004203690422905
austria,Boreal,wc2.1_2.5m_bio_3,32.9476572142707
austria,Boreal,wc2.1_2.5m_bio_4,693.01873779296875
austria,Boreal,wc2.1_2.5m_bio_5,20.916666746139526
austria,Boreal,wc2.1_2.5m_bio_6,-6.3798889186647205
austria,Boreal,wc2.1_2.5m_bio_7,27.29655583699544
austria,Boreal,wc2.1_2.5m_bio_8,14.913148191240099
austria,Boreal,wc2.1_2.5m_bio_9,-1.6657777755624719
austria,Temperate,wc2.1_2.5m_bio_1,9.88188902537028
austria,Temperate,wc2.1_2.5m_bio_10,19.113778432210285
austria,Temperate,wc2.1_2.5m_bio_11,0.547777791817983
austria,Temperate,wc2.1_2.5m_bio_12,599
austria,Temperate,wc2.1_2.5m_bio_13,73.33333333333333
austria,Temperate,wc2.1_2.5m_bio_14,31.333333333333332
austria,Temperate,wc2.1_2.5m_bio_15,28.927533467610676
austria,Temperate,wc2.1_2.5m_bio_16,207
austria,Temperate,wc2.1_2.5m_bio_17,100.33333333333333
austria,Temperate,wc2.1_2.5m_bio_18,206.33333333333334
austria,Temperate,wc2.1_2.5m_bio_19,102
austria,Temperate,wc2.1_2.5m_bio_2,8.523333231608072
austria,Temperate,wc2.1_2.5m_bio_3,29.842811584472656
